"","date","location","rainfall","temp_mean","temp_min","temp_max"
"1",2018-03-08,"TXH1",0,13.1604166666667,7.78,19.39
"2",2018-03-09,"TXH1",0,17.00875,9.39,22.22
"3",2018-03-10,"TXH1",0,22.4725,18.28,28.28
"4",2018-03-11,"TXH1",0,19.3373913043478,11.11,22.22
"5",2018-03-12,"TXH1",0,12.06,6.72,17.78
"6",2018-03-13,"TXH1",0,13.48875,7.22,20
"7",2018-03-14,"TXH1",0,14.0045833333333,6.11,21.11
"8",2018-03-15,"TXH1",0,16.4141666666667,8.89,22.78
"9",2018-03-16,"TXH1",0,22.9054166666667,17.78,28.89
"10",2018-03-17,"TXH1",11.68,23.2425,20.61,27.78
"11",2018-03-18,"TXH1",0.51,21.0533333333333,17.78,26.72
"12",2018-03-19,"TXH1",0,20.8820833333333,15.61,25
"13",2018-03-20,"TXH1",0,14.14125,8.89,19.39
"14",2018-03-21,"TXH1",0,15.8354166666667,6.72,23.28
"15",2018-03-22,"TXH1",0,17.7891666666667,10,25.61
"16",2018-03-23,"TXH1",0,20.2891666666667,14.39,26.72
"17",2018-03-24,"TXH1",0,22.8054166666667,19.39,27.78
"18",2018-03-25,"TXH1",0,22.8208333333333,20.61,26.72
"19",2018-03-26,"TXH1",3.05,23.5921739130435,20,28.89
"20",2018-03-27,"TXH1",50.29,23.2108333333333,17.78,27.78
"21",2018-03-28,"TXH1",5.08,17.6564285714286,16.11,19.39
"22",2018-03-29,"TXH1",0,19.3979166666667,14.39,25
"23",2018-03-30,"TXH1",0,17.6291666666667,12.22,22.78
"24",2018-03-31,"TXH1",0,19.0045833333333,12.22,26.11
"25",2018-04-01,"TXH1",0,20.6845833333333,14.39,26.72
"26",2018-04-02,"TXH1",0.25,22.655,16.72,28.28
"27",2018-04-03,"TXH1",0,22.1658333333333,17.78,27.78
"28",2018-04-04,"TXH1",0,15.4675,9.39,20.61
"29",2018-04-05,"TXH1",0,17.69625,11.72,22.78
"30",2018-04-06,"TXH1",3.81,23.6133333333333,20,27.78
"31",2018-04-07,"TXH1",0,9.5996,5,20
"32",2018-04-08,"TXH1",0,9.42583333333333,5.61,13.89
"33",2018-04-09,"TXH1",0,16.2954166666667,12.22,21.72
"34",2018-04-10,"TXH1",0,17.5886363636364,11.11,23.28
"35",2018-04-11,"TXH1",0,18.2454166666667,8.28,26.72
"36",2018-04-12,"TXH1",6.1,21.805,16.11,28.28
"37",2018-04-13,"TXH1",2.54,23.2054166666667,16.11,26.11
"38",2018-04-14,"TXH1",0,14.60875,10.61,18.89
"39",2018-04-15,"TXH1",0,12.1066666666667,5.61,19.39
"40",2018-04-16,"TXH1",0,17.1179166666667,6.72,26.11
"41",2018-04-17,"TXH1",0,21.13875,15,28.28
"42",2018-04-18,"TXH1",0,21.9908333333333,18.89,27.78
"43",2018-04-19,"ARH2",0,9.4575,6.72,11.72
"44",2018-04-19,"TXH1",0,18.935,13.89,24.39
"45",2018-04-20,"ARH2",0,11.675,3.89,18.89
"46",2018-04-20,"TXH1",10.67,15.0416666666667,11.72,18.89
"47",2018-04-21,"ARH2",11.68,14.9,8.89,20.61
"48",2018-04-21,"TXH1",0,17.7270833333333,12.22,21.11
"49",2018-04-22,"ARH2",4.83,15.406,13.89,17.78
"50",2018-04-22,"TXH1",0,16.4558333333333,11.72,21.72
"51",2018-04-23,"ARH2",0,13.6675,12.22,15
"52",2018-04-23,"TXH1",0,17.5320833333333,9.39,25
"53",2018-04-24,"ARH2",2.03,14.8341666666667,12.22,19.39
"54",2018-04-24,"TXH1",0,21.755,12.78,28.28
"55",2018-04-25,"ARH1",4.83,14.0254545454545,11.72,22.22
"56",2018-04-25,"ARH2",2.79,14.89,12.78,21.11
"57",2018-04-25,"TXH1",0,20.0029166666667,13.28,27.78
"58",2018-04-26,"ARH1",0,15.077,11.11,20.61
"59",2018-04-26,"ARH2",0,13.395,11.11,16.11
"60",2018-04-26,"TXH1",0,16.9404166666667,9.39,23.89
"61",2018-04-27,"ARH1",0,17.48625,10,25
"62",2018-04-27,"ARH2",0,15.4757142857143,11.11,22.78
"63",2018-04-27,"TXH1",0,19.4079166666667,12.78,26.11
"64",2018-04-28,"ARH1",0,16.195,8.28,26.11
"65",2018-04-28,"ARH2",0,16.2866666666667,11.72,22.22
"66",2018-04-28,"TXH1",0,21.1570833333333,13.28,27.78
"67",2018-04-29,"ARH1",0,16.1828571428571,9.39,20.61
"68",2018-04-29,"ARH2",0,15.7896551724138,8.28,17.83
"69",2018-04-29,"IAH2",0,19.69,14.56,25.61
"70",2018-04-29,"TXH1",0,20.9695833333333,13.89,27.78
"71",2018-04-30,"ARH1",0,17.3885714285714,10,26.11
"72",2018-04-30,"ARH2",0,16.0360416666667,13.11,19.61
"73",2018-04-30,"IAH2",12.45,20.709375,12.72,27.67
"74",2018-04-30,"IAH3",2.03,14.0733333333333,9.39,21.72
"75",2018-04-30,"TXH1",0,20.9579166666667,15,26.72
"76",2018-05-01,"ARH1",0,19.9285714285714,13.89,27.78
"77",2018-05-01,"ARH2",0,17.750625,15.33,20.39
"78",2018-05-01,"GAH2",0,16.9929166666667,5.28,29.06
"79",2018-05-01,"IAH2",1.02,18.9825,13.94,23.89
"80",2018-05-01,"IAH3",3.56,20.7583333333333,15.61,25.61
"81",2018-05-01,"TXH1",0.25,22.8404,20,26.11
"82",2018-05-02,"ARH1",2.79,21.9236363636364,16.72,27.78
"83",2018-05-02,"ARH2",0.25,20.079,18.11,21.94
"84",2018-05-02,"GAH2",0,19.4133333333333,8.94,30.5
"85",2018-05-02,"IAH2",4.57,13.2245833333333,11.72,14.83
"86",2018-05-02,"IAH3",6.86,20.611,16.72,25.61
"87",2018-05-02,"TXH1",0,25.35,21.72,30
"88",2018-05-03,"ARH1",1.02,22.5709090909091,19.39,27.78
"89",2018-05-03,"ARH2",0.25,20.84875,20.06,22.17
"90",2018-05-03,"GAH2",15.75,19.6133333333333,9.89,30.22
"91",2018-05-03,"IAH2",0,13.8335416666667,11.67,18.56
"92",2018-05-03,"IAH3",0,18.0776470588235,14.39,22.78
"93",2018-05-03,"TXH1",10.41,25.8179166666667,23.28,30
"94",2018-05-04,"ARH1",0.25,20.8814285714286,18.28,23.89
"95",2018-05-04,"ARH2",0.76,20.4431914893617,19.78,21.33
"96",2018-05-04,"GAH2",0,20.1241666666667,10.5,29.56
"97",2018-05-04,"IAH2",0.25,16.715625,10.22,23.22
"98",2018-05-04,"IAH3",0,16.8825,12.78,23.89
"99",2018-05-04,"TXH1",0,21.1125925925926,18.89,23.89
"100",2018-05-05,"ARH1",0,20.7581818181818,16.72,26.11
"101",2018-05-05,"ARH2",0,20.66625,19.5,22.22
"102",2018-05-05,"GAH2",0,21.1539583333333,14.83,27.72
"103",2018-05-05,"IAH2",0,18.765625,12.28,27.39
"104",2018-05-05,"IAH3",0,17.8,10,25.61
"105",2018-05-05,"TXH1",0,22.0482608695652,17.22,27.22
"106",2018-05-06,"ARH1",0,-2.926,-10.28,16.11
"107",2018-05-06,"ARH2",1.78,20.8852083333333,18.33,23.83
"108",2018-05-06,"GAH2",0,21.1377083333333,14.94,27.67
"109",2018-05-06,"IAH2",0,18.7983333333333,11.61,25.33
"110",2018-05-06,"IAH3",605,20.0083333333333,13.89,26.11
"111",2018-05-06,"TXH1",0,22.36375,14.39,28.89
"112",2018-05-07,"ARH1",0,-4.26854166666667,-13.22,4.06
"113",2018-05-07,"ARH2",0,21.9804166666667,19.39,25.06
"114",2018-05-07,"GAH2",0,19.6541666666667,10.06,29.67
"115",2018-05-07,"IAH2",0,19.6620833333333,10.72,26.56
"116",2018-05-07,"IAH3",820,22.6705555555556,15,28.17
"117",2018-05-07,"INH1",0,21.165,20.61,21.72
"118",2018-05-07,"TXH1",0,24.0554166666667,16.72,31.11
"119",2018-05-08,"ARH1",0,-3.16354166666667,-10.28,4.72
"120",2018-05-08,"ARH2",0,22.7616666666667,20.06,25.89
"121",2018-05-08,"GAH2",0,20.4202083333333,13.94,28.11
"122",2018-05-08,"IAH1",5.59,26.1104545454545,21.94,28.33
"123",2018-05-08,"IAH2",0,21.4327083333333,14.5,28.94
"124",2018-05-08,"IAH3",906,21.1402083333333,13,28.39
"125",2018-05-08,"ILH1",16.51,19.5721739130435,10,28.28
"126",2018-05-08,"INH1",0.76,21.44625,20.22,22.5
"127",2018-05-08,"NCH1",11.18,20.1208333333333,19.28,20.67
"128",2018-05-08,"NEH2",0,23.0807246376812,15.11,30.28
"129",2018-05-08,"TXH1",0,24.6569565217391,17.22,31.11
"130",2018-05-08,"TXH2",0,27.2173913043478,20.61,34.39
"131",2018-05-08,"WIH1",24.38,20.9385714285714,11.72,26.72
"132",2018-05-09,"ARH1",0,-1.938125,-8.17,3.72
"133",2018-05-09,"ARH2",0,22.663125,21.72,23.89
"134",2018-05-09,"GAH2",0,21.0914583333333,11.39,30.94
"135",2018-05-09,"IAH1",0,21.1254166666667,15.22,26.89
"136",2018-05-09,"IAH2",0,18.9864583333333,14.06,24.61
"137",2018-05-09,"IAH3",880,20.7058333333333,14.83,26.22
"138",2018-05-09,"ILH1",0,21.2595238095238,12.78,29.39
"139",2018-05-09,"INH1",0,21.5726086956522,20.61,24.67
"140",2018-05-09,"NCH1",2.03,21.6352083333333,17.22,27.28
"141",2018-05-09,"NEH2",0,22.5783606557377,15.72,29.72
"142",2018-05-09,"TXH1",0,24.5609523809524,16.72,30.61
"143",2018-05-09,"TXH2",0,26.7095238095238,17.78,35.61
"144",2018-05-09,"WIH1",1.52,16.762380952381,13.28,21.11
"145",2018-05-10,"ARH1",0,-2.110625,-9.28,4.22
"146",2018-05-10,"ARH2",0,22.776875,21.22,24.61
"147",2018-05-10,"GAH2",0,22.45125,12.67,32.89
"148",2018-05-10,"IAH1",12.95,20.198125,11.61,27.94
"149",2018-05-10,"IAH2",1.27,15.6120833333333,11.33,22
"150",2018-05-10,"IAH3",724,18.40125,11.39,24.78
"151",2018-05-10,"ILH1",0,20.9513043478261,13.89,27.22
"152",2018-05-10,"INH1",0,24.1270588235294,17.83,27.61
"153",2018-05-10,"NCH1",0.25,22.1889583333333,15.67,31.28
"154",2018-05-10,"NEH2",3.05,20.3492857142857,12.11,27.39
"155",2018-05-10,"TXH1",0,24.275652173913,16.72,31.11
"156",2018-05-10,"TXH2",0,27.9969565217391,18.89,37.22
"157",2018-05-10,"WIH1",0.51,16.4548484848485,9.11,20.44
"158",2018-05-11,"ARH1",0,-2.13541666666667,-8.72,4
"159",2018-05-11,"ARH2",0,23.6672916666667,21.72,26.11
"160",2018-05-11,"GAH2",0,23.4827083333333,13.33,33.72
"161",2018-05-11,"IAH1",14.73,16.5797916666667,12.11,20.22
"162",2018-05-11,"IAH2",0,12.1625,9.11,16
"163",2018-05-11,"IAH3",560,12.7716666666667,8.44,17.22
"164",2018-05-11,"ILH1",0,22.8308333333333,15,30.61
"165",2018-05-11,"INH1",0.25,19.8441666666667,14.44,28
"166",2018-05-11,"NCH1",0,24.5,15.89,33.33
"167",2018-05-11,"NEH2",0,15.5013432835821,9.11,21
"168",2018-05-11,"TXH1",0,25.87,21.11,31.11
"169",2018-05-11,"TXH2",0,28.4533333333333,20,38.28
"170",2018-05-11,"WIH1",0.51,4.39895833333333,1.61,8.06
"171",2018-05-12,"ARH1",0,-1.82708333333333,-7,4.28
"172",2018-05-12,"ARH2",0,24.6620833333333,22.78,27.11
"173",2018-05-12,"GAH2",0,25.01,15.94,34.72
"174",2018-05-12,"IAH1",2.54,11.0208333333333,8.61,13.72
"175",2018-05-12,"IAH2",3.05,9.863125,7.61,13.22
"176",2018-05-12,"IAH3",170,10.3264583333333,7.33,14.72
