"source","gdd_silk","gdd_harv","gdd_silk_hat","gdd_harv_hat"
"10SKRL:Breed:0994/0993",719.1975,1408.415,756.81251707042,1792.29269113713
"13SAJL:Nurse:0029",714.5175,1408.415,754.29886037947,1792.29269113713
"13SAJL:Nurse:0031",705.66,1408.415,749.541442828169,1792.29269113713
"13SAJL:Nurse:0045",687.6125,1408.415,739.84801993716,1792.29269113713
"13SAJL:Nurse:0049",723.375,1408.415,759.056277930771,1792.29269113713
"13SAJL:Nurse:0067",693.715,1408.415,743.12571009881,1792.29269113713
"13SAJL:Nurse:0075",693.715,1408.415,743.12571009881,1792.29269113713
"13SAJL:Nurse:0091",664.5925,1408.415,727.483836812017,1792.29269113713
"13SAJL:Nurse:0103",723.375,1408.415,759.056277930771,1792.29269113713
"13SAJL:Nurse:0115",715.02,1408.415,754.568756210069,1792.29269113713
"13SAJL:Nurse:0149",732.785,1408.415,764.110446619199,1792.29269113713
"13SAJL:Nurse:0151",737.705,1408.415,766.753008781479,1792.29269113713
"13SAJL:Nurse:0157",724.1425,1408.415,759.468506885965,1792.29269113713
"13SAJL:Nurse:0165",748.793333333333,1516.09666666667,765.382129177509,1792.29269114358
"16W:WI:11203",753.55,1408.415,780.600345909386,1792.29269114001
"17.2.19716.01811.0000000",865.847,1878.43,827.877509989732,1792.2926911338
"17.2.19716.01812.0000000",866.7835,1878.43,828.676322042731,1792.2926911338
"17.2.19716.01813.0000000",859.059,1878.43,822.087508691536,1792.2926911338
"17.2.19716.01814.0000000",867.002,1878.43,828.862697305497,1792.2926911338
"17.2.19716.01815.0000000",876.349090909091,1867.88363636364,836.013242290695,1792.2926911338
"17.2.19716.01816.0000000",853.7225,1878.43,817.535602102286,1792.2926911338
"17.2.19716.01817.0000000",873.4635,1878.43,834.374201929584,1792.2926911338
"17.2.19716.01818.0000000",876.768636363636,1867.88363636364,836.375952423997,1792.2926911338
"17.2.19716.01819.0000000",870.284,1878.43,831.662164639128,1792.2926911338
"17.2.19716.01821.0000000",871.7645,1878.43,832.924995652973,1792.2926911338
"17.2.19716.01822.0000000",897.547222222222,1881.68944444444,845.929071280165,1792.29269113778
"17.2.19716.01823.0000000",868.1445,1880.116,829.837222420876,1792.29269113592
"17.2.19716.01824.0000000",863.3775,1880.116,825.771085681262,1792.29269113592
"17.2.19716.01825.0000000",892.072,1878.9335,850.246806401813,1792.29269113443
"17.2.19716.01826.0000000",859.0885,1878.9335,822.112671484449,1792.29269113443
"17.2.19716.01827.0000000",882.1305,1878.9335,841.766945189965,1792.29269113443
"17.2.19716.01828.0000000",861.9965,1880.116,824.593125782498,1792.29269113592
"17.2.19716.01829.0000000",843.400909090909,1869.41636363636,807.528511280425,1792.29269113592
"17.2.19716.01830.0000000",855.208,1878.9335,818.802697996286,1792.29269113443
"17.2.19716.01831.0000000",860.349,1880.116,823.187847771482,1792.29269113592
"17.2.19716.01832.0000000",856.5435,1878.9335,819.941847485641,1792.29269113443
"17.2.19716.01833.0000000",852.731,1880.116,816.689876367584,1792.29269113592
"17.2.19716.01834.0000000",858.8805,1878.43,821.935252470008,1792.2926911338
"17.2.19716.01835.0000000",868.453636363636,1867.88363636364,829.187375535068,1792.2926911338
"17.2.19716.01836.0000000",864.759,1878.43,826.949472068041,1792.2926911338
"17.2.19716.01837.0000000",857.798636363636,1867.88363636364,819.975795649135,1792.2926911338
"17.2.19716.01838.0000000",890.226,1874.8905,848.954904269581,1792.29269112608
