date,location,rainfall,temp,temp_min,temp_max,allsky_sfc_sw_dwn,ps,rh2m,t2mdew,t2mwet,ws2m,dnr,dni
2018-02-24,ARH1,27.72,18.78,12.84,22.27,5.37,100.56,95.35,18,17.85,4.96,13.07,0.0972
2018-02-25,ARH1,3.19,10.05,6.36,14.68,5.8,101.21,76.47,6.13,5.97,1.58,13.07,4.1688
2018-02-26,ARH1,0.09,10.01,2.9,16.9,19.09,101.66,74.72,5.76,5.61,1.71,13.07,31.8168
2018-02-27,ARH1,15.99,11.94,4.53,18.5,17.82,101.48,83.68,9.27,9.02,2.36,13.07,13.7448
2018-02-28,ARH1,40,18.22,12.86,22.97,4.58,100.37,94.46,17.29,17.19,2.66,13.07,0.0072
2018-03-01,ARH1,24.23,14.58,8.3,18.46,10.82,100.82,87.36,12.5,12.26,2.76,15.26,10.7604
2018-03-02,ARH1,0,8.38,3.45,13.86,19.54,102.01,77.8,4.75,4.7,2.43,15.26,33.3612
2018-03-03,ARH1,0,8.26,2.18,15.32,19.8,101.95,79.5,4.94,4.83,2.16,15.26,33.6132
2018-03-04,ARH1,3.45,10.94,3.22,17.6,12.65,101.45,76.67,7.03,6.8,1.65,15.26,9.4536
2018-03-05,ARH1,9.49,13.84,8.99,21.33,11.06,100.5,89.57,12.14,11.71,3.79,15.26,8.7228
2018-03-06,ARH1,0,9.14,3.25,15.37,20.1,100.72,69.11,3.82,3.69,4.05,15.26,34.7184
2018-03-07,ARH1,0,4.33,-0.32,9.46,18.03,101.42,76.15,0.52,0.46,2.84,15.26,23.3748
2018-03-08,ARH1,0,4.7,-1.05,10.76,20.43,101.48,68.67,-0.53,-0.58,2.42,15.26,32.742
2018-03-09,ARH1,0,9.18,0.43,17.99,19.67,100.79,81.14,6.13,5.72,3.6,15.26,23.8464
2018-03-10,ARH1,9.31,14.36,11.15,18.37,11.09,100.39,90.82,12.87,12.78,2.25,15.26,3.924
2018-03-11,ARH1,2.86,10.87,3.41,15.19,7.78,100.6,90.29,9.32,8.98,3.74,15.26,4.356
2018-03-12,ARH1,0,5.89,0.37,12.27,20.7,101.64,78.08,2.38,2.28,3.23,15.26,30.8268
2018-03-13,ARH1,0,5.96,-0.09,13.19,21.2,101.7,75.47,1.98,1.93,2.1,15.26,30.0564
2018-03-14,ARH1,0,5.91,-1.05,13.03,20.85,101.66,69.62,0.83,0.75,1.95,15.26,34.3548
2018-03-15,ARH1,0,10.44,1.59,19.17,NA,100.91,79.19,7.01,6.59,3.12,15.26,31.1112
2018-03-16,ARH1,6.9,14.56,9.84,19.34,5.71,100.48,94.94,13.74,13.6,3.75,15.26,1.7964
2018-03-17,ARH1,0.81,16.34,11.29,21.11,13.83,100.47,84.24,13.68,13.56,2.72,15.26,10.5804
2018-03-18,ARH1,2.03,10.8,6.79,14.18,9.26,100.59,86.77,8.67,8.58,3.02,15.26,4.2876
2018-03-19,ARH1,3.99,14.67,9.07,21.66,17.1,99.56,84.66,12.12,11.9,3.39,15.26,18.9288
2018-03-20,ARH1,2.25,9.46,6.1,12.37,6.31,100.25,80.84,6.35,6.3,3.61,15.26,2.808
2018-03-21,ARH1,0,8.14,2.94,13.93,18.13,101.34,75.7,4.14,4.1,2.63,15.26,24.534
2018-03-22,ARH1,0.07,10.53,3.05,18.61,22.17,101.93,68.44,5.02,4.83,1.3,15.26,31.9572
2018-03-23,ARH1,0.07,14.56,7.36,21.41,14.6,101.27,78.1,10.83,10.55,3.56,15.26,6.5412
2018-03-24,ARH1,1.71,18.04,14.05,22.66,5.19,100.39,88.68,16.14,16,4.61,15.26,2.3328
2018-03-25,ARH1,0.01,10.47,5.65,15.06,15.46,100.97,82.61,7.65,7.53,3.33,15.26,4.338
2018-03-26,ARH1,0.01,16.83,8.67,24.18,14.1,101,90.34,15.22,14.69,3.93,15.26,5.2884
2018-03-27,ARH1,2.35,19.24,16.75,22.6,15.01,100.95,87.08,17.03,17.03,5.57,15.26,2.6784
2018-03-28,ARH1,47.35,16.43,12.83,18.6,5.76,100.56,92.44,15.18,15.09,1.87,15.26,0.1044
2018-03-29,ARH1,6.84,15.75,9.05,20.74,7.09,100.36,89.36,13.99,13.81,3.19,15.26,8.6004
2018-03-30,ARH1,0.01,11.43,5.86,17.12,20.44,101.65,71.69,6.55,6.5,2.07,15.26,27.9396
2018-03-31,ARH1,0,13.68,5.77,21.23,23.19,101.37,78.15,9.98,9.69,2.81,15.26,26.4096
2018-04-01,ARH1,0.19,14.59,7.96,19.56,11.09,100.99,86.03,12.28,12,1.85,17.64,8.7336
2018-04-02,ARH1,0.08,11.57,5.31,17.42,10.45,100.63,91.93,10.27,9.56,2.62,17.64,1.3356
2018-04-03,ARH1,10.19,19.25,8.8,25.74,14.37,100.15,86.83,17,16.45,5.89,17.64,2.5164
2018-04-04,ARH1,0,6.84,1.91,12.23,25.34,101.73,63.68,0.48,0.4,3.14,17.64,34.0308
2018-04-05,ARH1,1.23,8.87,0.68,15.55,18.02,101.44,73.05,4.35,4,1.77,17.64,12.5928
2018-04-06,ARH1,21.24,11.93,5.64,15.45,3.19,100.54,91.46,10.56,10.35,2.32,17.64,0.1476
2018-04-07,ARH1,8.79,2.41,-0.77,5.23,5.66,101.06,77.26,-1.14,-1.19,4.88,17.64,2.5164
2018-04-08,ARH1,0.01,5.2,-2.84,12.38,18.85,100.89,71.25,0.46,0.22,2.22,17.64,14.5764
2018-04-09,ARH1,0,9.14,0.75,16.43,24.91,101.15,74.11,4.81,4.57,2.32,17.64,29.4372
2018-04-10,ARH1,0,9.62,5.18,15.15,25.08,101.72,76.91,5.8,5.76,2.68,17.64,30.492
2018-04-11,ARH1,0,12.47,3.07,21.23,23.95,101.39,72.76,7.77,7.42,2.51,17.64,20.322
2018-04-12,ARH1,0,17.28,9.92,24.16,24.47,100.62,74.67,12.8,12.65,4.76,17.64,27.1476
2018-04-13,ARH1,3.5,20.08,14.96,25.14,12.56,100.12,86.51,17.76,17.65,5.83,17.64,3.1644
2018-04-14,ARH1,50.74,15.94,5.86,20.7,7.77,100.03,87.35,13.84,12.85,4.99,17.64,0.8352
2018-04-15,ARH1,0,5.25,1.34,8,5.63,100.79,72.93,0.83,0.8,3.85,17.64,0.5904
2018-04-16,ARH1,0,7.07,-1.24,14.97,26.79,101.37,68.31,1.68,1.3,2.64,17.64,35.7912
2018-04-17,ARH1,0,15.59,5.41,24.26,25.75,100.62,79.45,12.08,11.58,3.78,17.64,30.1284
2018-04-18,ARH1,0,18.36,11.67,25.53,20.14,100.5,76.87,14.29,14.06,4.84,17.64,26.028
