location,LON,LAT,YEAR,MM,DD,DOY,date,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_TOA_SW_DWN,PRECTOT,PS,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,TS,WS10M
ARH1,-90.75972,34.72835,2018,4,25,115,2018-04-25,29.62,14.42,37.55,15.36,100.84,83.72,15.81,13.08,13.06,22.43,10.12,15.37,3.1
ARH1,-90.75972,34.72835,2018,4,26,116,2018-04-26,30.18,9.65,37.7,13.12,100.49,85.61,14.59,12.21,12.22,18.77,11.99,14.75,4.36
ARH1,-90.75972,34.72835,2018,4,27,117,2018-04-27,26.41,26.54,37.85,0.03,100.7,75.79,16.22,11.99,11.89,22.95,9.91,16.16,3.57
ARH1,-90.75972,34.72835,2018,4,28,118,2018-04-28,26.08,27.35,38,0,100.99,67.73,16.76,10.85,10.58,24.72,9.98,16.4,3.61
ARH1,-90.75972,34.72835,2018,4,29,119,2018-04-29,24.5,27.43,38.14,0,101.65,65.74,13.98,7.75,7.65,20.84,8.12,14.11,4.04
ARH1,-90.75972,34.72835,2018,4,30,120,2018-04-30,25.17,27.26,38.28,0,101.43,67.26,16.04,10.05,9.75,24.67,7.06,16,3.41
ARH1,-90.75972,34.72835,2018,5,1,121,2018-05-01,29.69,24.37,38.42,0,101.15,75.57,19.07,14.71,14.51,26.19,11.92,18.78,4.32
ARH1,-90.75972,34.72835,2018,5,2,122,2018-05-02,33.44,22.25,38.55,0.02,101.18,83.28,22.77,19.81,19.76,28.39,17.79,22.68,5.61
ARH1,-90.75972,34.72835,2018,5,3,123,2018-05-03,33.41,22.74,38.68,1.27,101.1,83.65,22.48,19.6,19.58,26.74,20.03,22.18,5.01
ARH1,-90.75972,34.72835,2018,5,4,124,2018-05-04,34.2,9.6,38.8,2.24,101.07,88.72,22.1,20.14,20.14,25.47,18.98,21.84,3.97
ARH1,-90.75972,34.72835,2018,5,5,125,2018-05-05,31.66,19.55,38.93,7.81,100.97,79.48,20.52,16.89,16.82,24.96,17.3,20.47,2.74
ARH1,-90.75972,34.72835,2018,5,6,126,2018-05-06,28.87,26.79,39.05,0.09,101.04,64.71,21.7,14.88,14.76,28.31,13.88,20.96,2.34
ARH1,-90.75972,34.72835,2018,5,7,127,2018-05-07,29.76,26.26,39.16,1.16,101.14,70.38,22.35,16.8,16.66,29.02,15.6,22.37,2.06
ARH1,-90.75972,34.72835,2018,5,8,128,2018-05-08,31.18,24.79,39.28,0,101,75.82,23.43,18.99,18.86,29.55,16.56,23.49,2.62
ARH1,-90.75972,34.72835,2018,5,9,129,2018-05-09,32.48,19.7,39.39,0,100.76,74.53,23.56,18.85,18.77,28.5,19.46,23.11,4.53
ARH1,-90.75972,34.72835,2018,5,10,130,2018-05-10,31.57,24.82,39.5,0,100.9,74.61,23.95,19.25,19.17,30.14,18.25,23.81,4.06
ARH1,-90.75972,34.72835,2018,5,11,131,2018-05-11,30.7,26.61,39.6,0,100.83,71.48,23.71,18.35,18.26,29.91,18.1,23.46,5.14
ARH1,-90.75972,34.72835,2018,5,12,132,2018-05-12,31.14,24.85,39.7,0,100.99,73.08,24.08,19.06,18.97,29.85,19.41,24.03,4.12
ARH1,-90.75972,34.72835,2018,5,13,133,2018-05-13,32.32,25.74,39.8,0,100.95,74.07,25.23,20.37,20.25,31.59,18.68,25.24,3.11
ARH1,-90.75972,34.72835,2018,5,14,134,2018-05-14,34.06,24.9,39.9,0,100.75,74,26.03,21.13,21.01,31.41,20.24,25.9,2.79
ARH1,-90.75972,34.72835,2018,5,15,135,2018-05-15,34.4,24.32,39.99,1.09,100.56,73.74,26.05,21.1,21,31.31,21.85,26.01,2.47
