year,location,date,rainfall,temp,temp_min,temp_max
2018,ARH1,2018-04-25,6.1,16.65,10,23.3
2018,ARH1,2018-04-26,32.3,13.9,10.6,17.2
2018,ARH1,2018-04-27,0,16.95,10.6,23.3
2018,ARH1,2018-04-28,0,15.8,8.3,23.3
2018,ARH1,2018-04-29,0,15.55,9.4,21.7
2018,ARH1,2018-04-30,0,16.95,8.3,25.6
2018,ARH1,2018-05-01,0,20.55,12.8,28.3
2018,ARH1,2018-05-02,0,24.15,18.3,30
2018,ARH1,2018-05-03,0,25.25,21.1,29.4
2018,ARH1,2018-05-04,0.5,21.95,18.3,25.6
2018,ARH1,2018-05-05,1.3,20.3,15,25.6
2018,ARH1,2018-05-06,0,21.7,12.8,30.6
2018,ARH1,2018-05-07,1.5,22.5,14.4,30.6
2018,ARH1,2018-05-08,0,24.7,18.3,31.1
2018,ARH1,2018-05-09,0,25.85,20,31.7
2018,ARH1,2018-05-10,0,26.7,20.6,32.8
2018,ARH1,2018-05-11,0,25.55,18.3,32.8
2018,ARH1,2018-05-12,0,25.55,19.4,31.7
2018,ARH1,2018-05-13,0,26.65,19.4,33.9
2018,ARH1,2018-05-14,0,27.5,20.6,34.4
2018,ARH1,2018-05-15,0,27.2,20,34.4
2018,ARH1,2018-05-16,0.8,25.85,20.6,31.1
2018,ARH1,2018-05-17,2.3,22.8,18.9,26.7
2018,ARH1,2018-05-18,0,24.15,19.4,28.9
2018,ARH1,2018-05-19,0,26.95,20,33.9
2018,ARH1,2018-05-20,20.6,26.95,20.6,33.3
2018,ARH1,2018-05-21,6.6,23.65,20.6,26.7
2018,ARH1,2018-05-22,0,26.15,20.6,31.7
2018,ARH1,2018-05-23,0,26.65,21.1,32.2
2018,ARH1,2018-05-24,17.8,26.15,20.6,31.7
2018,ARH1,2018-05-25,0.5,25.55,21.7,29.4
2018,ARH1,2018-05-26,0,26.1,21.1,31.1
2018,ARH1,2018-05-27,0,26.65,21.1,32.2
2018,ARH1,2018-05-28,0,26.4,20,32.8
2018,ARH1,2018-05-29,0,25.55,22.2,28.9
2018,ARH1,2018-05-30,0,28.35,22.8,33.9
2018,ARH1,2018-05-31,0,29.45,25,33.9
2018,ARH1,2018-06-01,0.8,26.95,22.2,31.7
2018,ARH1,2018-06-02,0,27.8,20.6,35
2018,ARH1,2018-06-03,0,25.25,19.4,31.1
2018,ARH1,2018-06-04,0,24.2,16.7,31.7
2018,ARH1,2018-06-05,0,25.25,18.3,32.2
2018,ARH1,2018-06-06,0,26.1,18.3,33.9
2018,ARH1,2018-06-07,0,26.9,19.4,34.4
2018,ARH1,2018-06-08,0,27.8,20.6,35
2018,ARH1,2018-06-09,0,28.3,22.2,34.4
2018,ARH1,2018-06-10,0,29.15,23.3,35
2018,ARH1,2018-06-11,0,28.6,23.3,33.9
2018,ARH1,2018-06-12,0.3,28.6,23.9,33.3
2018,ARH1,2018-06-13,0,29.15,24.4,33.9
2018,ARH1,2018-06-14,0,28.9,22.8,35
2018,ARH1,2018-06-15,0,29.45,22.8,36.1
2018,ARH1,2018-06-16,0,29.7,23.3,36.1
2018,ARH1,2018-06-17,0,29.7,25,34.4
2018,ARH1,2018-06-18,0,29.45,23.9,35
2018,ARH1,2018-06-19,0,27.75,23.3,32.2
2018,ARH1,2018-06-20,8.1,26.1,21.1,31.1
2018,ARH1,2018-06-21,11.2,26.95,21.7,32.2
2018,ARH1,2018-06-22,0,26.1,21.1,31.1
2018,ARH1,2018-06-23,1.5,27.8,22.8,32.8
2018,ARH1,2018-06-24,27.7,26.15,20.6,31.7
2018,ARH1,2018-06-25,0,28.3,23.3,33.3
2018,ARH1,2018-06-26,0,29.15,23.9,34.4
2018,ARH1,2018-06-27,0,29.4,24.4,34.4
