location,year,dept,ph,OM,N,K,S,Ca,Mg,Na,CEC,P,sand,silt,clay,sandvc,sandco,sandmed,sandfine,sandvf,siltco,siltfine,ksat,awc,wthirdbar,wfifteenbar,wsatiated,kwfact,caco3,sar,ec,cec7
INH1,2018,30,6.9,2.9,11.7,146,10.2,3029,767,11,22,27,16,44,40,0.0222222222222222,1,3.22222222222222,3.24444444444444,2.6,0,0,6.11333333333333,0.139111111111111,20.8133333333333,11.4622222222222,27.9555555555556,0.215555555555555,0,0,0,12.9444444444444
GAH2,2018,30,7.1,2.2,14.3,116,11.3,1212,171,18,7.9,10,44,33,23,3.09,7.735,11.8975,14.085,10.315,3.975,7.275,15.9775,0.1645,24.1775,12.7,42.0583333333333,0.31275,0,0,0,6.867
GAH2,2018,30,6.3,1.8,13.3,85,7.2,775,124,14,5.9,12,49,23,28,3.09,7.735,11.8975,14.085,10.315,3.975,7.275,15.9775,0.1645,24.1775,12.7,42.0583333333333,0.31275,0,0,0,6.867
NCH1,2018,30,5.6,1.3,16.9,141,7.6,218,66,6,3.8,56,72,9,19,2.68833333333333,6.83666666666667,34.6138888888889,22.9861111111111,16.1416666666667,6.27666666666665,10.2955555555556,44.8888888888889,0.153333333333333,22.9911111111111,11.2661111111111,44.4277777777778,0.220944444444444,0,0,0,NA
MIH1,2018,30,6.1,2.9,18.4,147,9.3,1682,308,17,14.2,21,52,26,22,1.53319444444444,3.50708333333333,12.1334722222222,20.12375,9.89986111111111,9.44166666666667,13.9736111111111,4.77083333333333,0.153097222222222,26.6876388888889,14.2668055555555,36.1125,0.311805555555556,0,0.125,0.166666666666667,11.9175
NYH2,2018,30,7.1,3.2,22.7,59,4.7,1363,274,15,9.3,21,50,26,24,2.14572222222222,2.67238888888889,4.13422222222222,10.8105555555556,13.0812222222222,12.8988888888889,20.88,11.3196666666667,0.206116666666667,31.7505555555556,16.3327222222222,41.075,0.313622222222222,0.0233333333333333,0,0,26.0062777777778
NYH3,2018,30,7.7,3.6,17.1,57,3.8,1702,313,16,11.3,23,44,24,32,2.16322222222222,2.506,3.68616666666667,8.84638888888889,10.8517777777778,16.1155555555555,26.03,9.71688888888889,0.165644444444444,23.6091666666667,13.1935555555555,40.6138888888889,0.333844444444444,0.0233333333333333,0,0,12.6548888888889
MNH1,2018,30,6.5,4.8,26.3,161,7.8,3652,520,14,24.9,28,39,26,35,0.28,1.37375,3.06083333333333,6.05666666666667,6.55,8.24333333333333,13.2833333333333,5.56625,0.203375,31.17325,17.9945,46.0158333333333,0.36565,1.23,0,0.05,22.8154166666667
MOH1,2018,30,6.8,2.6,26.2,99,5.2,1800,235,20,11.3,15,31,41,28,1.0825,1.7325,1.89833333333333,2.66,2.63333333333333,27.2566666666667,37.7066666666667,7.32083333333333,0.195166666666667,29.635,15.975,43.2083333333333,0.436083333333333,0,0,1,20.2791666666667
MOH1,2018,30,7.1,2.9,18,97,8.8,2162,336,26,14,19,25,45,30,1.0825,1.7325,1.89833333333333,2.66,2.63333333333333,27.2566666666667,37.7066666666667,7.32083333333333,0.195166666666667,29.635,15.975,43.2083333333333,0.436083333333333,0,0,1,20.2791666666667
WIH1,2018,30,7.1,4.3,39,326,3.8,1860,538,8,14.7,132,17,47,36,0.0333333333333333,0.1,0.266666666666667,0.7,1.3,0,0,3.05666666666667,0.0766666666666667,10.3666666666667,5.63333333333333,15,0.123333333333333,0,0,0.0333333333333333,6.5
WIH2,2018,30,6.9,3.2,30.2,201,3.5,1734,548,10,13.8,47,14,55,31,0.484444444444446,1.11888888888889,1.88222222222222,3.19555555555556,3.24111111111111,0,0,3.82083333333334,0.0912777777777778,12.5755555555556,6.56277777777778,19.4666666666667,0.137944444444444,0,0,0.0416666666666667,7.02888888888889
INH1,2019,20,6.6,3.1,20.2,171,5.8,1895,561,9,14.6,14,27,50,23,0,1,3.33333333333333,3.33333333333333,2.66666666666667,0,0,6.11333333333333,0.14,20.7333333333333,11.3333333333333,28,0.213333333333333,0,0,0,13
NYH1,2019,30,7.7,2.4,13.3,65,12.4,1546,204,9,9.6,34,50,24,26,1.99361111111111,2.40305555555556,3.70972222222222,10.0402777777778,12.6716666666667,13.4944444444444,22.15,11.2972222222222,0.215694444444444,32.1130555555555,16.5469444444444,42.4888888888889,0.325,0,0,0,26.2991666666667
TXH1,2019,30,8.3,0.6,20.6,91,20.2,4268,161,23,23,5,40,38,22,0,0,0,0.04,0.16,0.4,5.8,0.042,0.038,7.44,4.54,10,0.034,1.6,0.4,0.2,6.98
TXH2,2019,30,8.4,1.1,15.8,172,6.2,5476,230,23,29.8,11,38,34,28,0,0,0,0.04,0.16,0.4,5.8,0.042,0.038,7.44,4.54,10,0.034,1.6,0.4,0.2,6.98
NEH2,2019,20,6.5,2.2,22.3,585,6.2,2285,358,9,16.9,24,46,24,30,0.0533333333333333,0.148333333333333,0.325,0.515,4.44166666666667,39.65,26.1666666666667,5.85,0.196666666666666,32.145,18.9233333333333,46.1333333333334,0.336666666666667,0,0,0.225,23.69
DEH1,2019,20,6.6,2.4,28.6,125,15,487,75,8,3.4,136,81,9,10,1.265,9.05833333333333,35.8483333333333,26.8566666666667,7.15333333333333,8.08666666666667,6.18333333333334,86.2666666666667,0.104783333333334,14.6716666666666,5.98983333333334,39.3883333333333,0.112333333333334,0,0,0,7.08933333333333
OHH1,2019,15,6.6,5,30.9,163,16.6,3007,687,7,21.2,43,26,32,42,0.9,1.225,1.4,3.275,3.8,0,0,4.585,0.1075,13.975,6.525,22,0.23,0,0,0,7.625
