"year","location","lat","lon","cluster","date_sowing","date_silking","date_harvesting","yield","gdd_silk","plant_density","sim_yield","sim_silk"
2014,"IAH2",41.997,-93.696,"b",2014-05-17,2014-07-23,2014-10-21,10423.3638036235,778,9.11774117647059,12255.3479732387,2014-07-24
2014,"IAH3",42.066,-94.728,"b",2014-05-17,2014-07-25,2014-10-20,10425.1122435808,778,9.11774117647059,11771.8618273422,2014-07-26
2014,"IAH4",41.987,-92.26,"b",2014-05-09,2014-07-16,2014-10-20,10560.4391435554,778,9.11774117647059,10706.0453588111,2014-07-24
2014,"ILH1",40.061135,-88.233184,"b",2014-05-06,2014-07-12,2014-10-03,11489.3404085817,778,8.6317931045177,11707.8558228029,2014-07-13
2014,"INH1",40.488,-87.006,"b",2014-05-25,2014-08-18,2014-11-18,10517.5830937327,778,8.11913142857143,11687.9104512959,2014-07-28
2014,"MNH1",44.06971707,-93.53409096,"a",2014-05-16,2014-07-29,2014-10-16,7278.17464031234,722,3.91418181818182,8425.6977384586,2014-08-05
2014,"MOH2",38.928745,-92.352163,"c",2014-05-05,2014-07-05,2014-11-13,8965.93297449608,789,7.38705882352941,11314.226846834,2014-07-06
2014,"NEH2",41.052978,-100.749467,"b",2014-05-15,2014-07-30,2014-11-05,5976.54093533661,778,2.46034285714286,3856.49848352949,2014-08-20
2014,"NYH2",42.73,-76.65,"a",2014-05-27,2014-08-05,2014-11-28,9500.86755292243,722,10.1308235294118,10146.7130314889,2014-08-03
2014,"WIH1",43.05706111,-89.53098611,"a",2014-05-09,2014-07-25,2014-10-28,11302.4672280349,722,8.01041860465116,10397.4391943892,2014-08-02
2015,"ILH1",40.059,-88.234,"b",2015-04-30,2015-07-06,2015-10-02,9538.04958917902,778,8.6317931045177,11867.8565327298,2015-07-18
2015,"INH1",40.477,-87,"b",2015-05-14,2015-07-20,2015-10-14,9011.50941911762,778,8.11913142857143,9504.4847298045,2015-07-19
2015,"KSH1",39.217,-96.606,"c",2015-04-23,2015-07-16,2015-09-21,4680.89175416664,789,3.01392,6359.98672326167,2015-07-14
2015,"MNH1",44.071,-93.536,"a",2015-05-19,2015-07-31,2015-11-10,9746.03113876086,722,3.91418181818182,8372.62745870301,2015-08-04
2015,"MOH1",38.896,-92.208,"c",2015-05-04,2015-07-17,2015-10-05,4588.53940682047,789,7.38705882352941,10191.1819471767,2015-07-07
2015,"MOH2",38.896,-92.208,"c",2015-05-05,2015-07-16,2015-10-02,7164.84755447945,789,7.38705882352941,10195.3373616292,2015-07-07
2015,"NEH2",41.051,-100.746,"b",2015-04-23,2015-07-25,2015-10-26,7354.83638736712,778,2.45016666379542,4212.2575002833,2015-07-22
2015,"NEH3",41.158,-101.988,"b",2015-06-10,2015-08-11,2015-12-14,7345.40402826318,778,2.39258505959441,3940.84062555329,2015-08-06
2015,"OHH1",39.855,-83.665,"b",2015-05-21,2015-07-22,2015-10-17,9815.36656568943,778,4.20992,8417.38095081545,2015-07-22
