date,location,rainfall,temp,temp_min,temp_max,allsky_sfc_lw_dwn,allsky_sfc_sw_dwn,allsky_toa_sw_dwn,ps,rh2m,t2mdew,t2mwet,ts,ws10m,eto
2018-04-25,ARH1,15.36,15.81,10.12,22.43,29.62,14.42,37.55,100.84,83.72,13.08,13.06,15.37,3.1,2.0684366
2018-04-26,ARH1,13.12,14.59,11.99,18.77,30.18,9.65,37.7,100.49,85.61,12.21,12.22,14.75,4.36,2.0684366
2018-04-27,ARH1,0.03,16.22,9.91,22.95,26.41,26.54,37.85,100.7,75.79,11.99,11.89,16.16,3.57,2.0684366
2018-04-28,ARH1,0,16.76,9.98,24.72,26.08,27.35,38,100.99,67.73,10.85,10.58,16.4,3.61,2.0684366
2018-04-29,ARH1,0,13.98,8.12,20.84,24.5,27.43,38.14,101.65,65.74,7.75,7.65,14.11,4.04,2.0684366
2018-04-30,ARH1,0,16.04,7.06,24.67,25.17,27.26,38.28,101.43,67.26,10.05,9.75,16,3.41,2.0684366
2018-05-01,ARH1,0,19.07,11.92,26.19,29.69,24.37,38.42,101.15,75.57,14.71,14.51,18.78,4.32,2.0684366
2018-05-02,ARH1,0.02,22.77,17.79,28.39,33.44,22.25,38.55,101.18,83.28,19.81,19.76,22.68,5.61,2.0684366
2018-05-03,ARH1,1.27,22.48,20.03,26.74,33.41,22.74,38.68,101.1,83.65,19.6,19.58,22.18,5.01,2.0684366
2018-05-04,ARH1,2.24,22.1,18.98,25.47,34.2,9.6,38.8,101.07,88.72,20.14,20.14,21.84,3.97,2.0684366
2018-05-05,ARH1,7.81,20.52,17.3,24.96,31.66,19.55,38.93,100.97,79.48,16.89,16.82,20.47,2.74,2.0684366
2018-05-06,ARH1,0.09,21.7,13.88,28.31,28.87,26.79,39.05,101.04,64.71,14.88,14.76,20.96,2.34,2.0684366
2018-05-07,ARH1,1.16,22.35,15.6,29.02,29.76,26.26,39.16,101.14,70.38,16.8,16.66,22.37,2.06,2.0684366
2018-05-08,ARH1,0,23.43,16.56,29.55,31.18,24.79,39.28,101,75.82,18.99,18.86,23.49,2.62,2.0684366
2018-05-09,ARH1,0,23.56,19.46,28.5,32.48,19.7,39.39,100.76,74.53,18.85,18.77,23.11,4.53,2.0684366
2018-05-10,ARH1,0,23.95,18.25,30.14,31.57,24.82,39.5,100.9,74.61,19.25,19.17,23.81,4.06,2.0684366
2018-05-11,ARH1,0,23.71,18.1,29.91,30.7,26.61,39.6,100.83,71.48,18.35,18.26,23.46,5.14,2.0684366
2018-05-12,ARH1,0,24.08,19.41,29.85,31.14,24.85,39.7,100.99,73.08,19.06,18.97,24.03,4.12,2.0684366
2018-05-13,ARH1,0,25.23,18.68,31.59,32.32,25.74,39.8,100.95,74.07,20.37,20.25,25.24,3.11,2.0684366
2018-05-14,ARH1,0,26.03,20.24,31.41,34.06,24.9,39.9,100.75,74,21.13,21.01,25.9,2.79,2.0684366
2018-05-15,ARH1,1.09,26.05,21.85,31.31,34.4,24.32,39.99,100.56,73.74,21.1,21,26.01,2.47,2.0684366
2018-05-16,ARH1,2.66,24.63,19.74,29.7,35.14,21.73,40.08,100.43,79.5,20.9,20.85,24.94,2.19,2.0684366
2018-05-17,ARH1,9.98,22.29,19.16,25.12,34.11,16.08,40.17,100.34,89.05,20.4,20.42,22.27,2.6,4.97055102222222
2018-05-18,ARH1,1.59,23.71,18.56,28.73,33.75,20.99,40.25,100.32,74.62,19.02,18.95,24.04,2.54,4.97055102222222
2018-05-19,ARH1,1.11,24.92,19.89,30.09,33.78,22.75,40.33,100.62,77.14,20.71,20.6,24.72,2.83,4.97055102222222
2018-05-20,ARH1,3.39,25.56,19.74,31.7,34.84,20.65,40.41,100.97,76.84,21.28,21.17,25.68,2.73,4.97055102222222
2018-05-21,ARH1,26.42,24.01,21.47,27.3,35.55,17.69,40.49,100.92,87.43,21.8,21.81,24.15,1.76,4.97055102222222
2018-05-22,ARH1,2.16,24.36,21.08,28.08,34.95,25.41,40.56,100.91,80.9,20.92,20.86,24.15,1.4,4.97055102222222
2018-05-23,ARH1,2.14,25.25,20.31,29.9,35.5,11.4,40.63,101.05,73.78,20.33,20.18,24.9,1.34,4.97055102222222
2018-05-24,ARH1,10.71,25.12,21.3,28.57,35.22,25.78,40.7,101.07,81.04,21.69,21.65,25.09,1.24,4.97055102222222
2018-05-25,ARH1,1.04,24.85,21.6,29.14,35.02,14.95,40.76,100.68,80.77,21.37,21.33,24.77,1.57,4.97055102222222
2018-05-26,ARH1,2.87,24,20.47,27.35,34.52,19.29,40.82,100.39,87.17,21.74,21.74,24.1,1.69,4.97055102222222
2018-05-27,ARH1,1.4,25.19,20.98,29.43,34.98,21.3,40.88,100.45,80.29,21.6,21.56,25.22,1.67,4.97055102222222
2018-05-28,ARH1,0.95,25.46,20.44,30.29,34.62,25.42,40.94,100.31,81.22,22.05,22,25.55,3.09,4.97055102222222
2018-05-29,ARH1,1.63,24.98,21.45,28.93,35.7,18.49,40.99,99.97,82.67,21.86,21.84,25.35,3,4.97055102222222
2018-05-30,ARH1,0.18,27.28,21.23,32.42,35.51,23.01,41.04,100.07,76.28,22.83,22.71,27.26,3.31,4.97055102222222
2018-05-31,ARH1,0.83,27.69,23.65,32.4,34.94,22.62,41.09,100.35,75.9,23.15,23.05,27.66,4.74,4.97055102222222
2018-06-01,ARH1,7.28,27.51,23.57,32.06,37.23,19.65,41.14,100.45,80.17,23.85,23.77,27.67,2.75,4.97055102222222
2018-06-02,ARH1,3.4,27.82,23.37,31.66,35.79,26.26,41.18,100.41,78.1,23.73,23.65,27.69,1.53,4.97055102222222
2018-06-03,ARH1,1.5,25.01,19.53,29.55,31.79,28.65,41.22,100.83,67.77,18.76,18.46,25.06,4.98,4.97055102222222
2018-06-04,ARH1,0,24.21,16.86,30.13,30.45,28.67,41.26,100.89,61.83,16.55,16.41,24.3,2.25,4.97055102222222
2018-06-05,ARH1,0,25.61,18.77,31.31,31.29,27.92,41.29,100.54,61.44,17.78,17.62,25.8,1.43,4.97055102222222
2018-06-06,ARH1,0,26.32,19.43,32.47,30.18,29.46,41.32,100.57,57.4,17.35,17.19,25.97,1.46,4.97055102222222
2018-06-07,ARH1,0,26.76,20.24,33.29,31.31,28.32,41.35,100.86,58.75,18.14,17.97,26.85,1.82,4.97055102222222
2018-06-08,ARH1,0.03,28,21.49,34.06,33.43,26.62,41.38,101.07,57.04,18.83,18.61,27.93,1.64,4.97055102222222
2018-06-09,ARH1,0.41,28.31,22.66,33.55,34.55,25.95,41.4,100.95,62.16,20.52,20.34,28.4,1.72,4.97055102222222
2018-06-10,ARH1,0,27.83,21.68,34.09,33.93,27.92,41.42,100.61,62.13,20.05,19.89,28.38,3.25,4.97055102222222
2018-06-11,ARH1,0.92,26.43,22.16,30.98,34.8,22.96,41.44,100.49,75.2,21.78,21.68,26.81,3.96,4.97055102222222
2018-06-12,ARH1,10.4,27.28,23.3,31.95,36.23,19.82,41.46,100.63,76.16,22.81,22.71,27.25,3.44,4.97055102222222
2018-06-13,ARH1,5.95,27.43,23.31,31.84,37.04,22.72,41.48,100.78,78.44,23.43,23.35,27.56,2.97,4.97055102222222
2018-06-14,ARH1,0.41,27.65,23.32,31.96,35.24,26.5,41.49,100.81,76.55,23.25,23.15,27.66,1.68,4.97055102222222
2018-06-15,ARH1,0.11,28.81,23.06,34.68,34.66,26.26,41.5,100.7,66.13,22,21.82,29.46,1.85,4.97055102222222
2018-06-16,ARH1,0.04,29.23,23.19,35.04,36.02,25.78,41.51,100.75,66.26,22.44,22.27,29.98,2.3,4.97055102222222
2018-06-17,ARH1,0.05,28.73,24.01,33.65,36.39,25.13,41.51,100.98,69.19,22.66,22.52,29.38,2.89,4.97055102222222
2018-06-18,ARH1,0.22,28.3,23.07,33.87,35.52,27.12,41.51,101.11,65.25,21.3,21.14,29,3.33,4.97055102222222
2018-06-19,ARH1,0.83,26.57,22.63,30.6,36.94,16.79,41.52,100.96,72.26,21.28,21.17,26.95,2.77,4.97055102222222
2018-06-20,ARH1,10.18,25.74,23.21,29.1,37.25,12.29,41.51,100.62,82.32,22.54,22.51,25.87,2.68,4.97055102222222
2018-06-21,ARH1,12.67,27.04,22.48,32.98,36.37,24.27,41.51,100.19,73.38,21.98,21.86,27.49,3.81,4.97055102222222
2018-06-22,ARH1,3.66,26.83,21.19,32.47,34.73,26.53,41.5,100.1,65.33,19.92,19.73,26.94,3.46,7.80725693023256
2018-06-23,ARH1,3.68,26.95,21.48,32.15,35.63,25.6,41.5,100.21,77.55,22.78,22.64,26.72,2.8,7.80725693023256
2018-06-24,ARH1,8.62,27.92,23.64,32.91,36.44,25.11,41.48,100.55,75.21,23.23,23.13,28.11,4.38,7.80725693023256
2018-06-25,ARH1,1.04,28.13,24.13,33.12,36.39,26.1,41.47,100.82,74.1,23.19,23.07,28.19,4.26,7.80725693023256
2018-06-26,ARH1,0.06,29.18,25.15,34.25,36.21,27.39,41.45,100.83,68.05,22.82,22.65,29.18,4.28,7.80725693023256
2018-06-27,ARH1,0.16,29.07,24.94,34.12,36.58,27.16,41.44,100.58,70.64,23.33,23.15,28.84,3.89,7.80725693023256
2018-06-28,ARH1,7.57,29.89,25.13,35.33,36.12,27.6,41.42,100.68,68.81,23.69,23.53,30.02,3.41,7.80725693023256
2018-06-29,ARH1,0.25,28.81,24.53,33.8,36.83,15.41,41.39,100.78,73.11,23.64,23.51,29.5,2.66,7.80725693023256
2018-06-30,ARH1,2.46,29.62,24.16,35.27,36.44,25.74,41.37,100.72,69.09,23.49,23.34,30.37,2.46,7.80725693023256
2018-07-01,ARH1,2.56,29.51,23.87,35.5,35.99,28.04,41.34,100.66,65.39,22.49,22.28,29.85,2.59,7.80725693023256
2018-07-02,ARH1,2.08,27.73,24.78,31.55,38.77,24.73,41.31,100.74,76.93,23.4,23.28,27.68,1.54,7.80725693023256
2018-07-03,ARH1,0.13,27.68,24.39,31.89,37.75,22.07,41.27,100.9,77.27,23.42,23.34,27.96,3.2,7.80725693023256
2018-07-04,ARH1,1.35,29.64,24.01,34.82,37.04,26.35,41.24,101.24,69.46,23.6,23.44,30.57,2.7,7.80725693023256
2018-07-05,ARH1,1.2,29.22,24.89,34.6,37.61,27.19,41.2,101.44,71.95,23.77,23.62,29.67,2.53,7.80725693023256
2018-07-06,ARH1,2.03,27.74,24.81,31.56,36.75,27.19,41.16,101.37,80.39,24.12,24.05,27.82,2.54,7.80725693023256
2018-07-07,ARH1,1.76,27.08,23.38,31.61,37,22.44,41.11,101.16,76.53,22.69,22.6,27.66,4.28,7.80725693023256
2018-07-08,ARH1,0.46,27.31,22.72,32.37,37.13,22.83,41.07,101.24,73.36,22.23,22.13,28.11,3.16,7.80725693023256
2018-07-09,ARH1,0.32,27.61,22.38,32.58,37.31,22.27,41.02,101.4,71.62,22.14,22.02,28.69,2.18,7.80725693023256
2018-07-10,ARH1,0.01,29.21,23.59,33.92,37.38,24.83,40.97,101.12,66.05,22.36,22.2,30.09,1.26,7.80725693023256
2018-07-11,ARH1,0.15,30.65,24.81,36.56,36.89,26.21,40.92,100.88,59.86,22.12,21.93,31.64,1.58,7.80725693023256
2018-07-12,ARH1,3.06,30.11,25.1,35.2,36.42,27.46,40.86,101.01,65.66,23.13,22.91,30.86,1.04,7.80725693023256
2018-07-13,ARH1,0.81,31.46,25.93,37.12,37.02,26.96,40.8,101.03,59.25,22.71,22.5,32.41,1.04,7.80725693023256
2018-07-14,ARH1,1.05,31.45,25.51,37.7,37.8,26.29,40.74,100.91,57.51,22.2,22.02,32.63,2.24,7.80725693023256
2018-07-15,ARH1,5.66,31.22,25.38,37.52,38.41,24.9,40.68,100.76,58.8,22.36,22.16,32.17,2.58,7.80725693023256
2018-07-16,ARH1,2.76,29.85,24.97,35.64,38.84,24.07,40.62,100.73,68.88,23.66,23.5,30.77,2.34,7.80725693023256
2018-07-17,ARH1,2.38,29.96,24.94,35.17,37.93,24.83,40.55,100.75,68.54,23.69,23.51,30.97,1.33,7.80725693023256
2018-07-18,ARH1,8.96,27.86,25.09,32.12,38.48,10.62,40.48,100.67,80.35,24.23,24.16,28.26,0.88,7.80725693023256
2018-07-19,ARH1,3.86,29.94,24.17,35.98,37.73,25.55,40.41,100.45,68.73,23.72,23.55,30.92,1.54,7.80725693023256
2018-07-20,ARH1,5.17,31.66,25.61,39.33,38.02,20.85,40.33,100.34,63.22,23.97,23.72,32.41,3.01,7.80725693023256
2018-07-21,ARH1,2.72,29.73,24.42,35.67,36.56,26.21,40.25,100.36,63.94,22.33,22.07,30.42,4.11,7.80725693023256
2018-07-22,ARH1,0,27.66,21.64,33.73,33.48,25.68,40.17,100.35,57.83,18.73,18.56,28.51,3.44,7.80725693023256
2018-07-23,ARH1,0,26.8,21.62,32.51,34.75,21.49,40.09,100.52,61.95,19.03,18.91,28,4.05,7.80725693023256
2018-07-24,ARH1,0,27.6,20.99,34.33,33.19,26.38,40.01,100.78,59.32,19.08,18.92,28.73,3.28,7.80725693023256
