year2014 year2015 year2016 year2017 year2018 year2019
0.01258566 -0.7082343 -0.4056569 0.1450604 0.1367377 -0.01499438
-0.005769709 -0.709578 -0.4125252 0.144615 0.1124495 -0.01684603
-0.01637108 -0.7392652 -0.447278 0.1182958 0.1029018 0.01095052
-0.06118578 -0.7480092 -0.433915 0.0710043 0.1128095 0.004153258
-0.05074446 -0.7424859 -0.4404681 0.1075454 0.1102274 -0.01576134
-0.01575032 -0.7454168 -0.4502003 0.1103537 0.05943779 0.003475017
-0.008370974 -0.7104832 -0.4443921 0.1145952 0.04805517 0.001518655
-0.01002904 -0.7378174 -0.4384018 0.1052723 0.07044963 -0.02007312
-0.009247993 -0.7462191 -0.4675351 0.1226199 0.07171154 -0.03346137
0.01032982 -0.7419535 -0.4459166 0.1590157 0.06825579 0.008611869
-0.006053372 -0.7190682 -0.4525715 0.1666906 0.04909564 -0.001914045
0.01269645 -0.7378073 -0.5165095 0.175861 0.01853658 0.00857038
-0.02669017 -0.7888925 -0.5001641 0.2156699 0.06084712 -0.0143827
-0.02491989 -0.7914956 -0.5209376 0.2243467 0.05829186 -0.0444717
-0.01142721 -0.7614394 -0.5434069 0.2385743 0.08820378 -0.06464694
-0.01531038 -0.7080691 -0.5102169 0.2613835 0.1119968 -0.04577164
0.01495885 -0.7151631 -0.5140246 0.2591362 0.1183385 -0.06952143
0.0002367957 -0.7147674 -0.4905992 0.2732526 0.1516046 -0.01615442
0.03964014 -0.7482945 -0.4856712 0.3102369 0.1538067 -0.02743855
0.07656455 -0.7657721 -0.5291169 0.3200289 0.1571157 -0.04439764
0.0656519 -0.7498701 -0.5134249 0.3441233 0.1504206 -0.0548229
0.15949 -0.7430678 -0.4686824 0.321366 0.1632443 -0.05383935
0.1412983 -0.7255403 -0.4953752 0.326881 0.1769569 -0.0482839
0.09794122 -0.7145044 -0.4932168 0.3473986 0.2143976 -0.08678242
0.05322721 -0.7516922 -0.46602 0.3439998 0.2444703 -0.09112842
0.01063678 -0.7549572 -0.4694552 0.3168993 0.2750436 -0.07283348
-0.02296419 -0.8128862 -0.4755598 0.3235667 0.2659184 -0.06029044
-0.0235129 -0.7712384 -0.4737383 0.3104659 0.2313362 -0.04001934
-0.05690536 -0.8034252 -0.4530617 0.3180084 0.2279044 -0.04609742
-0.05775748 -0.8120909 -0.4287455 0.3088064 0.2248456 -0.02556103
-0.08032728 -0.7426618 -0.4625409 0.310423 0.2129411 -0.007037972
-0.1122757 -0.7230152 -0.4685279 0.2782107 0.232075 0.006111599
-0.08576589 -0.711634 -0.4817333 0.2958837 0.2437223 -0.02285029
-0.08321511 -0.6975259 -0.4703546 0.265823 0.2378269 0.01800118
-0.1310439 -0.6812511 -0.4666476 0.2454166 0.2543848 0.007638401
-0.1272613 -0.6725871 -0.4518349 0.2588544 0.2604133 -0.001418959
-0.1222961 -0.673252 -0.454309 0.2182002 0.1983802 -0.03787263
-0.1106614 -0.6409017 -0.4735104 0.2053228 0.2035333 -0.03013271
-0.05444105 -0.6369443 -0.4560101 0.1845635 0.2254528 -0.0192239
-0.04935257 -0.609828 -0.4519432 0.1866473 0.2342792 -0.0390447
-0.02334081 -0.6558371 -0.3868026 0.1758994 0.2528763 -0.02653332
-0.05496903 -0.6400879 -0.4136222 0.1739508 0.2621218 -0.03088918
-0.130515 -0.6476146 -0.4265631 0.1885245 0.2378419 -0.04844045
-0.09356078 -0.6810487 -0.4367872 0.1471688 0.2360039 -0.04100235
-0.08343211 -0.6728649 -0.4425087 0.1418718 0.2245326 -0.0383348
-0.1198298 -0.6611757 -0.4371611 0.1121387 0.2209308 -0.08884341
-0.1770476 -0.6374313 -0.4710708 0.1079363 0.2258684 -0.09963123
-0.1502446 -0.6120193 -0.4685458 0.1094168 0.2113557 -0.08969606
-0.1058026 -0.6324194 -0.4697688 0.09048476 0.2130394 -0.03796632
-0.1362711 -0.6057975 -0.4744021 0.1103766 0.206207 -0.05650255
-0.1499275 -0.6653654 -0.4689452 0.1169207 0.1954934 -0.0460385
-0.1002633 -0.6782192 -0.4479276 0.1371761 0.2352174 -0.02349129
-0.1014765 -0.6653471 -0.4630294 0.1003638 0.2019551 -0.07173734
-0.1413483 -0.6856236 -0.4252174 0.1278669 0.2055654 -0.07087975
-0.1627888 -0.6818238 -0.4216107 0.1106139 0.1684756 -0.05959153
-0.1785251 -0.6542274 -0.4027662 0.1195278 0.1496248 -0.04554858
-0.1415816 -0.6707947 -0.4150679 0.1219507 0.1479129 -0.05696861
-0.1419079 -0.6032117 -0.371838 0.1425549 0.1405748 -0.0529467
-0.1820951 -0.5860099 -0.3944092 0.1343571 0.1448631 -0.06458979
-0.1400694 -0.5714609 -0.4007051 0.08901009 0.1744422 -0.0719664
-0.160713 -0.6093757 -0.4221335 0.04472449 0.1860767 -0.05745334
-0.1426743 -0.6759025 -0.4507668 0.05149744 0.1758118 -0.09101154
-0.108999 -0.6296579 -0.4527793 0.0559507 0.1712058 -0.0822333
-0.1425551 -0.6330075 -0.4564898 0.08467769 0.17698 -0.103047
-0.1584066 -0.6411934 -0.4412811 0.04187576 0.1466897 -0.1236806
-0.1705158 -0.6532016 -0.4370998 0.05048883 0.08323271 -0.1210013
-0.1496215 -0.6260018 -0.4258656 0.02660462 0.08038958 -0.1104026
-0.1366508 -0.6060117 -0.4622127 -0.02204973 0.068426 -0.121958
-0.1050022 -0.5976386 -0.4523348 -0.02157221 0.07772238 -0.0956797
-0.1447845 -0.6015334 -0.4411117 0.007586191 0.04573046 -0.09932449
-0.1824214 -0.6533558 -0.466258 0.003446783 0.06050706 -0.0911593
-0.248211 -0.6176974 -0.486794 0.04167474 0.04942605 -0.08459041
-0.2709024 -0.6063664 -0.4444882 0.06991443 0.04538013 -0.09834117
-0.2562603 -0.6126931 -0.4715555 0.08661478 0.04516176 -0.08640117
-0.2361227 -0.613482 -0.4723645 0.08262663 0.03556492 -0.09995942
-0.2624528 -0.6320473 -0.4795767 0.06413922 0.01884498 -0.08983497
-0.2468979 -0.6241108 -0.4852966 0.08961204 0.001385841 -0.09509848
-0.3103478 -0.584841 -0.5239586 0.03125491 -0.0001445836 -0.1341923
-0.3525079 -0.5623763 -0.5393208 0.0478488 -0.05681183 -0.1607543
-0.3618207 -0.5306965 -0.5840185 0.05564862 -0.09904964 -0.1670084
-0.3222437 -0.5196348 -0.5827199 0.06195387 -0.09237744 -0.1852421
-0.3293432 -0.5003573 -0.6209205 0.04666166 -0.08328678 -0.1656197
-0.3041866 -0.4916749 -0.6062201 0.02645999 -0.05916645 -0.176429
-0.3092989 -0.479144 -0.5888246 0.00273597 -0.1139193 -0.1606039
-0.2847814 -0.5024984 -0.5767249 -0.0142075 -0.1112252 -0.1473653
-0.2483586 -0.5020827 -0.5882623 0.01567789 -0.08960991 -0.1437521
-0.28742 -0.5024312 -0.584579 -0.006373114 -0.1032327 -0.1473028
-0.2722382 -0.5495177 -0.5540029 0.001668736 -0.07490952 -0.1613066
